Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
Record,Date/Time,40,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,DataQuality
Record,Date/Time,50,Az(deg),El(deg),TkBB(K), Ch  22.000, Ch  22.234, Ch  22.500, Ch  23.000, Ch  23.034, Ch  23.500, Ch  23.834, Ch  24.000, Ch  24.500, Ch  25.000, Ch  25.500, Ch  26.000, Ch  26.234, Ch  26.500, Ch  27.000, Ch  27.500, Ch  28.000, Ch  28.500, Ch  29.000, Ch  29.500, Ch  30.000, Ch  51.248, Ch  51.760, Ch  52.280, Ch  52.804, Ch  53.336, Ch  53.848, Ch  54.400, Ch  54.940, Ch  55.500, Ch  56.020, Ch  56.660, Ch  57.288, Ch  57.964, Ch  58.800,DataQuality
Record,Date/Time,80,ID,SNR,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
    18,04/04/23 00:10:34,51, 45.00, 19.80,306.972,134.262,136.768,137.104,133.205,133.146,128.130,120.973,116.584,107.660, 99.121, 90.990, 85.502, 81.913, 78.640, 77.528, 79.722, 82.160, 78.414, 76.309, 74.749, 71.613,219.411,240.079,259.366,275.945,287.384,292.276,293.377,294.538,294.496,295.073,295.629,295.958,296.833,296.133,1
    19,04/04/23 00:10:52,51, 45.00,160.20,306.979,150.998,153.663,153.867,149.962,149.719,144.752,136.096,132.034,121.091,111.795,102.812, 96.206, 92.835, 89.348, 87.151, 88.808,139.429, 86.839, 84.219, 82.164, 79.215,225.605,244.968,262.954,278.708,287.940,293.104,293.383,294.638,294.341,295.385,295.878,295.709,296.404,296.308,1
    20,04/04/23 00:10:53,41, 294.9200,  94.2100,1010.3000, 242.6000,0,1
    21,04/04/23 00:11:15,51, 90.00, 19.80,306.990,134.687,137.978,138.449,134.129,134.556,129.814,121.753,118.419,108.786, 99.760, 91.729, 85.949, 82.841, 79.308, 78.007, 80.740, 82.765, 79.810, 76.833, 75.103, 71.452,218.748,239.577,259.186,275.964,287.019,292.307,292.486,294.425,294.557,295.517,295.761,296.057,296.144,296.261,1
    22,04/04/23 00:11:33,51, 90.00,160.20,306.992,149.848,152.913,152.588,149.105,148.787,142.787,134.891,132.917,120.600,110.340,102.491, 96.075, 92.552, 88.352, 86.222, 88.534, 92.295, 86.117, 83.950, 81.685, 78.402,225.202,244.950,263.296,277.869,288.157,292.510,293.114,294.085,294.425,294.757,295.722,295.695,296.478,296.375,1
    23,04/04/23 00:11:33,41, 294.8900,  94.2100,1010.3000, 242.3900,0,1
    24,04/04/23 00:11:56,51,135.00, 19.80,306.999,137.640,140.508,140.600,136.580,136.692,131.978,124.084,121.079,110.197,101.593, 93.500, 88.031, 84.577, 80.607, 78.845, 81.335,117.885, 80.348, 77.895, 75.238, 72.576,218.318,239.484,258.468,275.104,286.903,292.036,292.986,294.545,294.283,295.110,295.476,295.435,296.005,296.338,1
    25,04/04/23 00:12:14,51,135.00,160.20,307.007,144.088,146.784,146.818,143.525,143.297,137.940,129.613,125.710,115.868,106.725, 98.859, 92.403, 89.149, 84.471, 83.064, 85.627, 86.879, 83.626, 81.436, 79.574, 76.541,224.388,244.171,262.689,277.887,287.832,292.650,293.550,294.443,293.933,295.447,295.228,295.777,296.135,296.091,1
    26,04/04/23 00:12:14,41, 294.9100,  94.1600,1010.2000, 242.5600,0,1
    27,04/04/23 00:13:32,41, 294.9400,  94.1000,1010.3000, 241.7500,0,1
    28,04/04/23 00:14:07,51,  0.00, 19.80,307.030,135.412,138.364,138.343,133.502,134.087,129.667,122.411,117.500,109.267, 99.630, 92.143, 86.583, 83.453, 79.887, 78.632, 80.967, 82.426, 79.399, 77.404, 74.883, 71.839,220.126,240.951,260.088,275.918,287.546,291.782,293.035,294.530,295.147,295.555,295.784,295.797,295.777,295.524,1
    29,04/04/23 00:14:24,51,  0.00, 90.00,307.034, 59.828, 61.216, 61.995, 59.127, 59.707, 59.295, 53.301, 51.125, 45.879, 40.932, 37.318, 34.608, 32.996, 30.865, 31.919, 37.344, 41.262, 39.447, 37.645, 35.351, 30.901,113.160,137.490,161.983,193.207,229.836,260.960,281.017,288.958,292.581,293.227,294.339,294.248,294.437,294.950,1
    30,04/04/23 00:14:41,51,  0.00,160.20,307.035,144.854,148.606,148.252,144.338,144.213,139.740,131.328,126.488,117.008,106.633, 98.864, 92.591, 89.799, 85.672, 84.317, 86.764,164.712, 84.850, 82.116, 80.003, 76.675,224.035,243.661,262.534,278.016,288.599,291.945,293.916,294.318,295.961,295.954,295.796,295.531,295.379,296.247,1
