Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000
38,04/01/23 00:16:46,51,135.0,160.2,307.75,105.162,108.814,108.807,104.946,105.285,102.275,96.412,92.094,84.845,77.531,71.915,66.708,65.437,61.683,60.197,64.816,67.602,66.264,63.261,61.062,58.26
41,04/01/23 00:18:40,51,0.0,19.8,307.692,95.718,98.304,98.878,94.838,94.9,92.793,86.661,82.927,76.74,69.862,64.732,61.037,58.579,54.813,54.585,59.067,61.972,60.543,58.821,57.34,53.115
42,04/01/23 00:18:57,51,0.0,90.0,307.684,42.437,43.891,43.966,42.329,43.073,42.144,39.111,36.926,33.344,29.644,27.889,25.434,23.844,21.534,22.572,29.0,34.23,33.037,30.72,28.595,24.065
43,04/01/23 00:19:15,51,0.0,160.2,307.675,112.583,116.376,116.653,112.629,112.333,109.318,102.308,99.355,90.941,83.217,77.858,72.876,70.529,65.874,65.491,69.384,144.378,69.396,66.871,64.91,61.387
44,04/01/23 00:19:39,51,45.0,19.8,307.659,92.59,95.252,95.787,91.131,91.744,89.309,83.257,79.785,73.622,67.023,61.851,59.212,56.353,52.351,52.272,57.766,60.957,58.295,57.028,54.724,51.506
45,04/01/23 00:19:57,51,45.0,160.2,307.653,111.134,113.827,115.176,110.968,110.775,107.746,101.815,97.996,90.387,82.197,76.583,71.543,69.306,64.673,63.473,68.365,114.217,68.614,66.462,64.252,61.039
47,04/01/23 00:20:19,51,90.0,19.8,307.644,92.8,96.254,96.745,91.897,91.999,89.676,83.996,80.83,74.155,67.637,62.698,59.538,56.95,53.376,53.02,57.614,61.521,58.988,57.201,55.222,51.219
48,04/01/23 00:20:37,51,90.0,160.2,307.641,109.035,111.213,111.884,108.521,108.721,105.483,98.782,96.834,88.384,79.928,75.016,69.097,67.668,63.276,62.909,66.544,74.106,67.048,65.046,63.186,59.667
50,04/01/23 00:21:00,51,135.0,19.8,307.635,105.982,109.113,109.279,104.736,104.855,102.653,95.702,92.771,85.3,77.198,71.728,67.269,64.404,60.903,59.55,64.668,101.502,65.083,62.883,61.137,57.466
51,04/01/23 00:21:18,51,135.0,160.2,307.63,101.666,104.84,105.093,100.783,100.936,98.623,92.284,88.386,81.18,74.292,69.072,64.731,62.526,58.813,57.697,62.965,65.047,63.642,61.792,59.666,55.539
54,04/01/23 00:23:11,51,0.0,19.8,307.611,95.386,98.561,98.327,94.522,94.822,91.519,85.728,82.735,76.511,69.641,63.97,60.946,58.025,54.392,54.139,59.205,62.025,60.285,57.412,56.689,52.659
55,04/01/23 00:23:29,51,0.0,90.0,307.608,41.856,43.612,43.879,41.088,41.989,41.386,37.949,36.224,33.899,29.133,26.592,24.858,23.697,20.411,21.794,29.689,33.758,32.191,29.397,29.063,23.304
56,04/01/23 00:23:46,51,0.0,160.2,307.605,110.719,114.424,114.518,110.533,110.536,106.896,100.605,97.316,90.299,81.697,75.234,70.698,69.186,64.031,63.707,68.407,146.831,67.575,65.095,64.064,60.661
57,04/01/23 00:24:10,51,45.0,19.8,307.597,89.651,93.294,92.873,88.621,89.196,86.906,81.258,77.523,72.488,64.875,60.209,57.65,54.446,51.575,51.014,56.178,59.57,57.862,55.549,53.867,50.656
58,04/01/23 00:24:28,51,45.0,160.2,307.594,111.027,113.879,114.434,110.642,111.003,107.345,100.669,97.887,90.735,82.204,75.844,70.909,69.415,64.215,63.595,68.573,119.206,68.025,65.734,63.996,60.517
60,04/01/23 00:24:51,51,90.0,19.8,307.587,89.546,93.363,93.035,88.289,88.965,86.136,80.017,77.365,71.591,64.956,59.489,57.002,54.782,50.89,51.075,55.93,59.825,56.897,55.361,53.974,50.38
61,04/01/23 00:25:09,51,90.0,160.2,307.579,108.905,112.382,111.834,108.476,108.788,105.331,99.003,97.067,88.825,80.28,74.069,70.302,67.573,63.019,62.591,67.29,73.026,66.818,64.526,62.729,60.253
63,04/01/23 00:25:32,51,135.0,19.8,307.573,103.33,107.256,106.193,102.561,102.485,99.715,93.951,90.846,83.471,75.599,69.437,65.519,63.255,59.211,58.783,63.589,97.882,63.802,62.144,60.378,56.829
64,04/01/23 00:25:50,51,135.0,160.2,307.569,95.727,98.623,98.607,93.787,95.07,91.96,85.981,82.749,76.659,69.438,64.232,60.736,58.423,54.971,53.791,60.223,62.05,59.593,58.652,56.192,52.913
67,04/01/23 00:27:43,51,0.0,19.8,307.53,91.366,94.669,95.005,91.243,91.58,88.974,82.647,80.022,73.262,66.966,61.108,58.459,56.153,52.889,51.788,57.452,60.073,58.446,56.153,54.225,51.484
68,04/01/23 00:28:00,51,0.0,90.0,307.533,41.413,42.378,42.705,40.296,41.356,41.416,37.633,35.518,32.748,28.168,26.771,25.292,23.713,21.126,22.38,28.716,33.588,31.465,29.133,27.12,22.975
69,04/01/23 00:28:18,51,0.0,160.2,307.533,112.234,115.146,115.884,111.756,112.045,107.973,101.812,98.504,90.413,82.81,76.297,72.163,69.277,65.47,64.067,68.147,154.236,68.002,66.073,64.353,61.027
70,04/01/23 00:28:42,51,45.0,19.8,307.529,89.897,93.316,93.406,89.455,90.056,87.584,81.688,78.477,71.945,65.819,60.597,57.268,55.55,52.034,51.787,56.655,59.187,57.935,55.964,54.139,51.008
71,04/01/23 00:28:59,51,45.0,160.2,307.525,111.2,113.92,113.894,110.503,110.707,106.897,100.571,97.646,89.228,81.63,75.501,71.123,68.522,64.45,62.641,67.401,118.739,67.296,64.932,63.029,60.47
73,04/01/23 00:29:22,51,90.0,19.8,307.52,89.833,92.685,93.145,89.137,88.971,86.97,81.548,77.883,72.124,65.588,60.008,57.057,55.117,51.728,51.4,56.674,59.344,57.135,54.469,53.852,50.257
74,04/01/23 00:29:40,51,90.0,160.2,307.518,108.117,111.296,112.334,108.352,108.059,104.605,98.633,96.402,87.856,79.614,73.734,69.748,66.963,63.571,61.527,66.663,74.53,65.771,64.187,62.518,59.589
76,04/01/23 00:30:03,51,135.0,19.8,307.513,98.098,101.109,101.604,96.828,97.861,94.275,88.462,86.773,78.096,71.749,65.741,62.778,60.013,56.418,55.075,60.115,94.746,61.181,59.201,56.916,54.179
77,04/01/23 00:30:21,51,135.0,160.2,307.506,91.948,95.267,95.429,92.058,92.302,88.509,83.274,80.494,74.318,67.225,62.272,58.975,57.26,53.346,52.507,58.042,60.825,58.145,56.546,55.116,52.166
80,04/01/23 00:32:15,51,0.0,19.8,307.487,90.854,94.072,93.36,90.192,89.652,87.658,81.499,78.061,72.183,65.838,61.021,57.258,55.119,51.765,51.579,56.559,59.007,58.354,56.244,54.022,51.239
81,04/01/23 00:32:32,51,0.0,90.0,307.486,40.386,42.099,42.335,40.173,39.803,40.406,37.713,35.051,31.955,27.516,26.168,24.412,23.567,21.607,21.992,27.92,33.173,31.623,29.183,26.883,22.935
82,04/01/23 00:32:50,51,0.0,160.2,307.482,109.92,113.648,113.63,109.893,108.868,106.109,99.747,95.643,88.294,81.03,74.473,70.181,67.99,64.376,63.111,67.53,154.495,67.547,65.068,63.222,59.809
83,04/01/23 00:33:13,51,45.0,19.8,307.475,89.258,92.364,91.72,88.3,87.86,86.462,80.516,77.145,70.897,64.923,59.837,56.54,54.825,51.054,51.165,55.528,58.529,57.293,55.412,53.592,50.37
84,04/01/23 00:33:31,51,45.0,160.2,307.471,111.915,115.019,115.222,111.761,111.32,108.62,101.865,97.668,90.579,82.595,76.981,71.791,69.5,65.72,64.828,68.795,118.113,68.755,66.309,64.186,61.38
86,04/01/23 00:33:54,51,90.0,19.8,307.467,87.789,91.322,90.428,86.829,87.213,85.009,78.8,75.37,69.454,63.85,58.308,55.662,52.952,50.083,49.955,54.866,57.685,56.843,54.207,51.875,49.939
87,04/01/23 00:34:12,51,90.0,160.2,307.462,106.755,110.53,109.729,106.862,106.455,103.961,97.632,94.027,86.1,78.483,72.988,68.078,66.171,62.612,61.94,66.19,72.261,65.752,64.025,61.516,58.779
89,04/01/23 00:34:35,51,135.0,19.8,307.459,97.155,100.833,100.258,96.692,96.332,93.846,87.544,84.878,77.474,70.835,65.494,61.792,58.884,55.994,55.459,59.296,93.51,59.993,58.295,56.692,53.708
90,04/01/23 00:34:53,51,135.0,160.2,307.455,92.475,96.233,95.506,92.071,91.544,89.517,83.636,80.165,73.658,67.316,62.509,58.972,57.195,53.032,53.875,58.872,60.994,59.633,57.612,55.333,52.18
93,04/01/23 00:36:47,51,0.0,19.8,307.42,88.272,90.77,90.455,86.435,86.702,84.976,79.551,75.887,69.508,63.481,58.728,55.834,53.668,50.42,50.447,54.369,57.264,57.067,54.442,51.899,49.118
94,04/01/23 00:37:04,51,0.0,90.0,307.417,37.728,38.77,38.899,36.463,36.232,37.77,34.636,32.221,28.794,25.381,23.938,22.095,21.04,19.356,19.921,25.83,31.018,29.488,27.408,26.089,21.393
95,04/01/23 00:37:22,51,0.0,160.2,307.409,105.598,108.154,108.498,104.537,104.228,100.881,95.214,90.647,84.668,76.816,71.547,66.608,64.182,61.415,60.028,64.857,142.747,64.636,62.41,59.88,57.123
96,04/01/23 00:37:45,51,45.0,19.8,307.402,86.478,89.682,88.715,84.508,85.017,83.399,77.588,73.514,68.042,62.708,56.864,54.023,52.247,49.41,48.272,54.21,56.972,55.562,53.156,51.462,48.806
97,04/01/23 00:38:03,51,45.0,160.2,307.392,108.514,111.014,111.182,107.724,107.486,104.558,97.99,94.142,86.889,79.375,73.3,68.507,66.736,63.136,62.101,65.706,113.263,66.393,63.901,61.687,58.697
99,04/01/23 00:38:26,51,90.0,19.8,307.378,86.572,89.121,88.956,84.274,84.096,82.766,77.578,73.837,67.407,61.94,56.803,53.919,51.7,48.928,48.392,53.419,58.184,55.657,52.602,51.464,48.193
