Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
Record,Date/Time,40,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,DataQuality
Record,Date/Time,50,Az(deg),El(deg),TkBB(K), Ch  22.000, Ch  22.234, Ch  22.500, Ch  23.000, Ch  23.034, Ch  23.500, Ch  23.834, Ch  24.000, Ch  24.500, Ch  25.000, Ch  25.500, Ch  26.000, Ch  26.234, Ch  26.500, Ch  27.000, Ch  27.500, Ch  28.000, Ch  28.500, Ch  29.000, Ch  29.500, Ch  30.000, Ch  51.248, Ch  51.760, Ch  52.280, Ch  52.804, Ch  53.336, Ch  53.848, Ch  54.400, Ch  54.940, Ch  55.500, Ch  56.020, Ch  56.660, Ch  57.288, Ch  57.964, Ch  58.800,DataQuality
Record,Date/Time,80,ID,SNR,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
    18,04/06/23 00:10:36,51, 45.00, 19.80,308.341,156.761,159.959,160.500,154.043,154.219,147.471,138.195,132.677,121.882,110.449,101.725, 95.218, 91.332, 87.775, 84.912, 87.268, 87.554, 84.572, 83.081, 80.602, 77.908,221.116,241.659,259.138,275.380,286.426,292.081,294.116,295.652,296.032,296.507,297.336,296.567,297.231,297.197,1
    19,04/06/23 00:10:54,51, 45.00,160.20,308.345,158.598,162.000,162.667,156.305,156.164,149.298,140.692,134.685,124.240,112.252,103.565, 96.385, 93.448, 89.541, 86.461, 89.069,133.062, 85.864, 83.953, 81.872, 79.482,224.377,243.860,261.392,277.247,287.710,291.974,294.731,295.785,295.686,296.613,296.984,296.575,297.166,297.122,1
    20,04/06/23 00:10:55,41, 298.0100,  70.8100,1009.6000, 239.4100,0,1
    21,04/06/23 00:11:17,51, 90.00, 19.80,308.348,155.602,158.766,159.373,153.017,152.751,146.733,136.864,131.520,120.334,108.524,100.193, 93.490, 89.587, 86.159, 83.629, 86.125, 86.622, 83.278, 81.056, 78.466, 76.493,220.003,240.124,258.550,275.497,286.713,291.272,294.571,295.958,295.807,297.174,296.682,296.740,297.542,297.066,1
    22,04/06/23 00:11:35,51, 90.00,160.20,308.353,159.618,162.263,163.050,157.222,156.934,150.761,141.760,139.038,125.450,114.038,105.290, 98.196, 94.821, 90.351, 87.809, 91.033, 95.723, 86.874, 84.991, 83.095, 80.031,225.243,244.913,262.059,277.500,287.515,291.953,294.687,296.190,295.761,296.710,297.363,297.224,297.132,297.626,1
    23,04/06/23 00:11:36,41, 298.0400,  70.4900,1009.5000, 239.3700,0,1
    24,04/06/23 00:11:58,51,135.00, 19.80,308.365,157.881,161.357,161.347,155.092,154.819,148.868,139.055,135.057,122.506,111.231,102.809, 95.624, 91.207, 87.767, 85.593, 88.284,123.349, 85.149, 82.838, 81.715, 78.586,221.234,241.602,259.564,276.155,287.672,292.451,294.713,295.742,296.086,297.114,297.053,296.863,297.212,297.155,1
    25,04/06/23 00:12:16,51,135.00,160.20,308.368,162.643,166.003,166.638,160.648,160.042,153.699,144.530,138.658,128.007,116.645,107.889,100.851, 97.287, 93.328, 90.091, 92.550, 93.198, 89.603, 86.908, 85.357, 81.788,226.915,245.821,262.890,278.128,288.193,292.331,294.944,295.532,295.110,297.001,297.214,296.788,296.969,297.330,1
    26,04/06/23 00:12:16,41, 298.0700,  70.2400,1009.4000, 239.7500,0,1
    27,04/06/23 00:13:35,41, 298.0800,  70.5400,1009.5000, 239.6200,0,1
    28,04/06/23 00:14:10,51,  0.00, 19.80,308.394,158.328,162.160,162.001,156.048,155.907,149.101,140.616,134.527,123.767,113.351,103.335, 96.370, 93.527, 88.096, 86.528, 88.591, 89.249, 86.387, 83.637, 81.853, 78.551,222.574,241.808,260.935,276.462,287.062,292.497,293.883,294.777,295.080,296.753,296.905,296.342,296.831,297.110,1
    29,04/06/23 00:14:27,51,  0.00, 90.00,308.397, 69.439, 71.743, 72.114, 68.127, 68.997, 65.971, 59.975, 57.149, 51.016, 44.403, 40.510, 37.302, 36.047, 33.221, 33.683, 39.006, 42.629, 39.781, 38.484, 37.047, 32.197,114.759,138.033,162.917,193.542,228.635,260.501,280.237,289.453,291.351,293.443,294.908,294.860,296.025,295.775,1
    30,04/06/23 00:14:45,51,  0.00,160.20,308.397,158.750,162.748,162.956,156.439,156.468,149.205,140.342,134.252,123.883,112.294,103.316, 96.534, 93.202, 88.352, 86.896, 88.532,177.569, 85.804, 83.659, 80.554, 78.161,224.438,243.431,262.018,277.150,287.543,292.243,293.869,295.110,295.194,295.979,296.616,295.726,297.163,297.041,1
    31,04/06/23 00:15:08,51, 45.00, 19.80,308.393,157.644,161.186,161.085,155.650,155.021,147.740,139.756,133.687,122.892,111.882,102.306, 96.117, 93.325, 87.939, 86.262, 88.192, 89.459, 85.684, 83.076, 81.263, 77.896,221.288,241.043,259.485,276.141,287.417,291.935,293.302,294.332,294.729,295.225,296.866,295.763,297.148,296.934,1
    32,04/06/23 00:15:26,51, 45.00,160.20,308.392,158.586,161.824,162.465,156.462,156.307,149.464,140.495,135.407,124.075,112.711,103.391, 96.515, 93.632, 88.560, 86.729, 89.282,136.556, 86.083, 83.274, 81.142, 78.474,224.051,243.984,261.934,276.756,287.494,292.756,293.347,294.393,295.018,295.927,296.458,295.553,297.295,296.941,1
    33,04/06/23 00:15:27,41, 297.9800,  71.0900,1009.6000, 239.8900,0,1
    34,04/06/23 00:15:49,51, 90.00, 19.80,308.394,156.106,160.052,160.525,153.765,154.035,146.432,137.535,132.705,121.189,110.299,101.115, 94.254, 91.422, 86.819, 84.903, 87.132, 88.145, 84.163, 81.372, 80.462, 76.899,220.534,240.268,259.437,275.316,286.990,291.936,293.069,294.520,295.636,296.081,296.626,296.148,296.779,297.158,1
    35,04/06/23 00:16:07,51, 90.00,160.20,308.395,160.127,163.934,164.105,158.046,158.063,150.698,141.571,137.664,126.135,114.801,105.135, 98.830, 95.618, 90.495, 88.387, 90.547, 96.497, 87.886, 85.352, 82.680, 80.141,225.673,245.153,262.708,277.532,287.863,292.307,293.503,294.276,294.884,295.883,296.464,296.511,296.993,296.412,1
    36,04/06/23 00:16:08,41, 297.9900,  71.1400,1009.7000, 240.7600,0,1
    37,04/06/23 00:16:31,51,135.00, 19.80,308.393,157.688,162.024,161.576,155.386,155.511,147.597,138.666,134.268,122.368,110.807,101.451, 95.044, 91.749, 86.957, 85.109, 86.948,120.836, 85.119, 82.804, 80.277, 77.309,220.557,240.324,259.136,275.466,286.508,292.382,293.264,294.747,295.459,295.685,296.854,296.169,297.340,297.773,1
    38,04/06/23 00:16:48,51,135.00,160.20,308.392,163.214,166.633,167.358,160.807,161.134,154.182,145.572,139.484,129.148,117.539,108.545,101.022, 97.812, 92.768, 91.231, 92.606, 92.730, 89.357, 87.789, 84.998, 82.274,227.021,245.719,263.743,278.352,287.983,293.273,294.005,294.941,295.246,296.173,296.914,297.320,297.052,297.359,1
    39,04/06/23 00:16:49,41, 298.0200,  70.9200,1009.8000, 240.8700,0,1
    40,04/06/23 00:18:07,41, 297.9700,  71.3400,1009.7000, 240.9800,0,1
    41,04/06/23 00:18:42,51,  0.00, 19.80,308.423,158.336,161.600,161.825,156.148,155.588,148.871,139.993,134.170,123.164,112.473,103.932, 97.223, 93.418, 89.346, 86.292, 89.298, 89.526, 86.542, 84.193, 82.480, 78.613,223.557,242.562,260.624,276.689,286.994,291.667,293.528,294.910,296.035,295.952,297.100,297.355,297.372,297.121,1
    42,04/06/23 00:19:00,51,  0.00, 90.00,308.428, 70.870, 74.006, 74.342, 69.820, 70.372, 67.202, 60.999, 58.266, 52.039, 45.984, 42.165, 38.527, 36.826, 33.773, 34.156, 39.548, 43.573, 41.284, 39.528, 37.646, 33.712,116.201,139.327,162.927,193.961,229.216,259.758,280.662,288.889,291.967,293.019,294.337,295.072,295.782,295.061,1
    43,04/06/23 00:19:17,51,  0.00,160.20,308.435,160.440,164.550,164.818,158.550,158.465,151.644,142.286,137.067,125.370,114.468,105.691, 97.459, 94.495, 90.478, 87.625, 89.911,178.072, 87.898, 84.927, 82.434, 79.382,224.850,243.850,262.010,277.358,287.911,291.617,294.103,294.600,295.551,295.692,296.188,297.058,297.053,297.104,1
    44,04/06/23 00:19:41,51, 45.00, 19.80,308.445,157.170,160.742,161.070,154.971,155.232,147.763,139.440,133.302,122.729,111.827,102.714, 96.382, 92.764, 88.599, 86.126, 88.537, 89.257, 85.943, 83.556, 81.693, 78.774,222.545,241.777,260.391,276.124,287.495,291.664,293.540,295.762,295.558,295.505,296.132,296.613,296.941,297.003,1
    45,04/06/23 00:19:59,51, 45.00,160.20,308.454,158.685,162.191,162.919,157.148,157.098,149.292,140.844,135.812,124.867,113.815,104.489, 97.006, 93.932, 89.434, 86.578, 89.535,138.726, 86.575, 83.808, 81.862, 79.564,225.645,244.356,261.871,277.164,287.896,292.021,293.914,294.897,295.076,295.697,296.108,296.877,296.973,297.228,1
    46,04/06/23 00:20:00,41, 297.8900,  71.8400,1009.7000, 241.4700,0,1
    47,04/06/23 00:20:23,51, 90.00, 19.80,308.462,157.264,160.839,161.354,154.629,154.735,147.004,138.341,133.320,121.679,111.037,102.566, 95.113, 91.621, 87.776, 84.467, 87.118, 88.730, 85.079, 82.495, 80.765, 77.698,221.312,240.834,259.372,275.364,286.729,290.998,293.944,294.457,295.369,295.282,295.962,297.063,297.257,296.713,1
    48,04/06/23 00:20:40,51, 90.00,160.20,308.464,162.046,165.306,165.636,160.311,160.285,153.283,144.411,140.891,127.949,116.148,107.824,100.788, 97.800, 92.928, 89.818, 91.606,100.181, 88.949, 87.162, 84.817, 81.736,226.805,245.705,263.055,277.788,287.609,291.286,293.670,295.341,295.020,295.156,296.389,297.325,296.930,296.253,1
    49,04/06/23 00:20:41,41, 297.9000,  71.8100,1009.8000, 241.6500,0,1
    50,04/06/23 00:21:04,51,135.00, 19.80,308.475,156.378,160.204,160.466,154.232,154.677,147.489,138.264,133.348,121.786,110.666,102.016, 94.799, 91.718, 86.994, 84.849, 86.966,123.473, 84.997, 82.474, 79.749, 76.946,221.125,240.614,258.749,275.678,287.197,291.995,294.030,294.923,295.311,295.528,296.168,296.724,297.070,296.484,1
    51,04/06/23 00:21:22,51,135.00,160.20,308.485,164.371,168.358,168.624,162.741,162.773,155.693,146.726,140.724,129.807,119.008,109.771,102.075, 98.532, 94.201, 91.064, 94.107, 93.961, 90.843, 88.176, 86.168, 82.915,227.901,246.261,263.774,278.271,288.241,291.352,293.874,294.947,295.462,295.261,296.199,296.589,297.250,297.141,1
    52,04/06/23 00:21:22,41, 297.9300,  71.8100,1009.7000, 241.5400,0,1
    53,04/06/23 00:22:40,41, 297.9300,  71.8400,1009.7000, 242.0200,0,1
    54,04/06/23 00:23:16,51,  0.00, 19.80,308.523,158.523,162.649,162.878,156.383,156.233,149.473,140.020,134.953,123.082,112.633,103.806, 97.479, 93.657, 89.730, 87.645, 89.385, 89.786, 86.371, 84.210, 81.875, 78.941,223.374,242.884,261.125,276.471,286.660,292.048,293.188,294.392,295.733,296.753,296.714,296.547,296.153,296.969,1
    55,04/06/23 00:23:33,51,  0.00, 90.00,308.532, 71.341, 74.141, 74.010, 69.997, 70.236, 67.422, 61.035, 58.231, 51.874, 46.078, 42.473, 39.092, 36.892, 34.542, 34.796, 39.223, 43.991, 41.530, 39.229, 37.254, 32.849,116.108,139.132,163.464,193.654,228.171,260.050,280.610,289.302,292.544,293.468,294.285,295.171,294.739,295.321,1
    56,04/06/23 00:23:51,51,  0.00,160.20,308.538,162.577,165.845,166.703,160.231,160.361,153.116,143.418,138.469,126.646,115.784,107.034, 99.177, 96.533, 91.777, 89.545, 90.626,174.199, 88.263, 85.764, 83.378, 80.191,225.485,244.403,262.634,277.357,287.072,292.159,293.540,294.695,295.796,296.174,296.077,296.614,296.075,296.407,1
    57,04/06/23 00:24:14,51, 45.00, 19.80,308.550,158.252,162.345,162.670,155.925,155.741,149.346,140.013,134.767,122.681,112.618,103.750, 97.075, 93.111, 88.839, 86.551, 88.601, 89.351, 86.294, 83.297, 81.131, 78.765,222.124,242.074,260.206,276.065,286.599,291.757,293.650,294.218,295.792,296.679,295.765,296.576,295.744,297.042,1
    58,04/06/23 00:24:32,51, 45.00,160.20,308.555,159.314,162.900,163.340,157.177,157.449,150.556,140.729,136.831,124.689,113.443,104.733, 97.027, 94.552, 89.849, 87.785, 89.734,134.476, 86.826, 84.380, 82.324, 79.216,225.178,244.294,262.506,277.182,287.294,292.119,293.162,294.618,295.685,296.296,296.237,297.022,295.922,296.518,1
    59,04/06/23 00:24:33,41, 297.8100,  72.3600,1009.7000, 242.4800,0,1
