time_ns,amplitude
0.0,0.0
0.001,0.4065287092806397
0.002,0.8018523013803824
0.003,1.1750880655723428
0.004,1.5159884721403956
0.005,1.8152349801247634
0.006,2.0647041279130756
0.007,2.257698010002222
0.008,2.3891323390386447
0.009000000000000001,2.455676595531266
0.01,2.455842237304537
0.011,2.3900165305181216
0.012,2.260441223930873
0.013000000000000001,2.07113696595026
0.014,1.8277760073893918
0.015,1.5375072905225033
0.016,1.2087394486562009
0.017,0.8508884861241238
0.018000000000000002,0.4740979382970516
0.019,0.0889400938280352
0.02,-0.2938926261462369
0.021,-0.6638968091361486
0.022,-1.0110584518556305
0.023,-1.3261357069621413
0.024,-1.6009156832796276
0.025,-1.8284378786687614
0.026000000000000002,-2.0031779185131935
0.027,-2.1211865523172744
0.028,-2.1801802843180327
0.029,-2.179581535221741
0.03,-2.120507802376941
0.031,-2.0057108549513534
0.032,-1.8394685195331848
0.033,-1.6274330326445061
0.034,-1.3764412161358572
0.035,-1.0942928304924215
0.036000000000000004,-0.7895043470625467
0.037,-0.4710460276304845
0.038,-0.14807059103494347
0.039,0.17035812746232504
0.04,0.47552825814757754
0.041,0.7593268518127687
0.042,1.0144634784360438
0.043000000000000003,1.234664097129227
0.044,1.4148298688913787
0.045,1.5511567787097422
0.046,1.6412132389793825
0.047,1.6839742184695412
0.048,1.6798118349880038
0.049,1.6304437202640707
0.05,1.5388417685876266
0.051000000000000004,1.4091050754497123
0.052000000000000005,1.2463019220219786
0.053,1.0562865342872543
0.054,0.845497016760985
0.055,0.6207413118099608
0.056,0.3889782558869202
0.057,0.15710079062978372
0.058,-0.06827185545416187
0.059000000000000004,-0.28098665778565646
0.06,-0.4755282581475754
0.061,-0.6471645258335592
0.062,-0.7920623136121849
0.063,-0.9073705798391426
0.064,-0.9912691916718782
0.065,-1.042982896924412
0.066,-1.0627611139542033
0.067,-1.051825301485685
0.068,-1.0122866971983737
0.069,-0.9470381225417958
0.07,-0.8596243134846364
0.07100000000000001,-0.7540958301370617
0.07200000000000001,-0.634852005933544
0.073,-0.5064786094730465
0.074,-0.3735859061688203
0.075,-0.24065262637628837
0.076,-0.11188098204518826
0.077,0.008932658298180074
0.078,0.11850750432105517
0.079,0.2141653534519276
0.08,0.293892626146238
0.081,0.35637611980832673
0.082,0.4010121385665679
0.083,0.42788960836470363
0.084,0.4377486940307608
0.085,0.4319172662129085
0.08600000000000001,0.4122282936611144
0.08700000000000001,0.3809218367644584
0.088,0.34053577291025383
0.089,0.2937896799739916
0.09,0.24346643379013477
0.091,0.19229603751846852
0.092,0.14284600009748527
0.093,0.0974222278575198
0.094,0.057983903492097644
0.095,0.026075220208222505
0.096,0.0027761400712493778
0.097,-0.011326418686347928
0.098,-0.016146361417806704
0.099,-0.012085367503594638
