Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
Record,Date/Time,40,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,DataQuality
Record,Date/Time,50,Az(deg),El(deg),TkBB(K), Ch  22.000, Ch  22.234, Ch  22.500, Ch  23.000, Ch  23.034, Ch  23.500, Ch  23.834, Ch  24.000, Ch  24.500, Ch  25.000, Ch  25.500, Ch  26.000, Ch  26.234, Ch  26.500, Ch  27.000, Ch  27.500, Ch  28.000, Ch  28.500, Ch  29.000, Ch  29.500, Ch  30.000, Ch  51.248, Ch  51.760, Ch  52.280, Ch  52.804, Ch  53.336, Ch  53.848, Ch  54.400, Ch  54.940, Ch  55.500, Ch  56.020, Ch  56.660, Ch  57.288, Ch  57.964, Ch  58.800,DataQuality
Record,Date/Time,80,ID,SNR,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
    18,04/01/23 00:10:36,51, 45.00, 19.80,307.915, 94.336, 97.544, 97.174, 92.607, 92.318, 90.448, 84.003, 80.684, 75.199, 67.637, 62.373, 59.281, 57.532, 54.129, 53.591, 58.201, 61.465, 59.229, 57.178, 55.075, 52.080,209.885,232.883,254.911,274.139,288.104,292.071,294.527,295.356,296.456,296.670,296.971,296.446,296.596,296.574,1
    19,04/01/23 00:10:53,51, 45.00,160.20,307.906,111.615,114.482,114.185,110.587,110.525,107.361,100.745, 97.281, 89.236, 81.981, 76.024, 70.599, 70.033, 65.493, 64.330, 68.334,117.720, 68.206, 66.018, 64.375, 60.966,217.381,238.570,259.679,277.376,288.285,292.588,294.083,295.159,296.167,296.434,296.654,296.349,296.866,298.061,1
    20,04/01/23 00:10:54,41, 297.9200,  66.6500,1012.9000, 228.6200,0,1
    21,04/01/23 00:11:16,51, 90.00, 19.80,307.900, 97.641,100.523,100.690, 96.111, 96.261, 93.544, 87.292, 84.488, 77.292, 70.739, 65.216, 61.753, 59.702, 56.183, 55.329, 60.264, 63.572, 60.343, 58.514, 57.177, 53.452,210.336,233.399,255.209,274.469,287.634,292.330,294.598,294.858,296.114,296.483,296.751,297.311,296.235,296.854,1
    22,04/01/23 00:11:34,51, 90.00,160.20,307.896,111.125,113.920,114.603,110.586,110.689,107.786,101.122, 98.671, 89.560, 81.693, 75.821, 70.986, 69.506, 65.256, 64.287, 68.187, 78.455, 68.087, 66.410, 64.666, 61.126,217.963,239.735,260.216,277.429,288.405,293.052,294.457,295.211,295.637,296.499,296.779,297.426,296.533,297.539,1
    23,04/01/23 00:11:35,41, 297.9000,  66.4900,1013.0000, 228.8500,0,1
    24,04/01/23 00:11:58,51,135.00, 19.80,307.890,106.111,109.267,110.111,105.346,105.617,102.464, 96.208, 93.931, 85.265, 77.995, 71.983, 68.276, 65.785, 61.934, 60.865, 64.408, 99.328, 65.156, 63.709, 62.307, 58.156,212.849,234.593,256.562,275.081,287.701,292.571,294.756,295.077,295.575,296.773,296.776,296.413,296.982,297.155,1
    25,04/01/23 00:12:15,51,135.00,160.20,307.884,103.248,106.650,106.947,103.087,102.584,100.278, 93.478, 89.418, 82.920, 75.921, 70.279, 65.986, 64.110, 60.555, 59.067, 63.989, 66.371, 64.585, 62.360, 60.700, 57.026,216.093,238.524,259.289,277.197,288.628,293.664,295.039,295.484,295.778,296.769,296.960,297.694,296.920,297.679,1
    26,04/01/23 00:12:16,41, 297.9400,  66.4600,1013.0000, 228.5300,0,1
    27,04/01/23 00:13:33,41, 297.9000,  66.4900,1013.1000, 228.8400,0,1
