Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000
38,04/04/23 00:16:45,51,135.0,160.2,307.047,142.643,146.166,146.828,141.876,142.31,138.018,129.549,124.477,115.94,105.487,98.466,91.153,89.0,85.236,83.214,86.209,86.577,83.07,81.217,79.318,76.189
41,04/04/23 00:18:38,51,0.0,19.8,307.039,134.823,138.09,138.533,134.111,134.405,130.228,122.145,117.855,108.893,99.509,91.799,86.547,83.529,80.389,78.031,80.965,82.268,79.806,76.875,75.808,72.1
42,04/04/23 00:18:56,51,0.0,90.0,307.043,59.11,61.43,61.592,58.647,58.898,58.078,52.634,50.635,45.704,39.774,37.645,34.468,32.781,30.407,31.381,36.645,41.526,38.463,36.455,35.284,30.531
43,04/04/23 00:19:13,51,0.0,160.2,307.038,143.63,146.709,147.18,142.905,142.873,138.24,129.567,126.468,116.105,105.987,97.633,91.529,89.155,85.415,82.93,86.478,165.576,83.668,80.931,79.002,75.958
44,04/04/23 00:19:37,51,45.0,19.8,307.033,131.814,135.678,136.188,132.069,131.441,127.487,119.485,116.003,106.76,98.346,90.216,85.222,81.814,78.007,76.216,80.354,81.262,78.323,76.308,74.424,70.905
45,04/04/23 00:19:55,51,45.0,160.2,307.026,147.914,151.072,152.073,147.653,147.561,142.356,134.118,130.44,119.731,109.472,101.651,94.47,92.091,87.906,85.472,88.875,137.054,85.995,83.389,81.22,78.29
47,04/04/23 00:20:18,51,90.0,19.8,307.022,131.785,134.979,135.559,131.378,131.305,126.965,119.577,115.257,106.133,98.199,89.757,84.364,82.166,77.899,76.057,80.011,81.126,77.935,75.41,74.107,70.266
48,04/04/23 00:20:36,51,90.0,160.2,307.017,145.616,149.256,149.565,145.746,144.908,140.151,131.783,130.654,118.414,107.698,99.477,93.908,90.538,86.6,84.06,87.196,90.93,84.712,81.813,80.801,76.869
50,04/04/23 00:20:59,51,135.0,19.8,307.013,134.838,138.333,139.086,134.615,134.379,130.054,122.094,119.686,108.872,99.92,91.58,86.898,83.571,79.608,77.567,81.603,114.747,79.228,76.345,75.487,71.937
51,04/04/23 00:21:17,51,135.0,160.2,307.006,141.76,145.332,146.185,141.649,141.18,136.939,128.413,123.84,115.205,104.989,97.176,91.539,88.574,84.096,81.982,85.74,86.193,82.987,80.403,78.807,76.029
54,04/04/23 00:23:10,51,0.0,19.8,307.0,134.64,137.599,138.285,134.367,134.511,129.68,122.646,117.732,108.693,99.596,92.336,86.689,84.192,79.448,78.2,80.735,82.14,79.804,77.166,74.983,72.054
55,04/04/23 00:23:28,51,0.0,90.0,307.005,59.526,60.925,60.863,59.183,59.921,58.765,53.535,51.176,45.352,40.381,37.797,34.598,33.21,30.886,31.301,36.374,41.658,38.451,36.531,35.199,30.728
56,04/04/23 00:23:45,51,0.0,160.2,307.0,143.292,146.199,146.554,143.131,143.21,138.05,130.475,125.603,115.918,105.726,98.325,91.924,88.922,84.476,82.83,85.142,162.882,83.203,81.259,78.836,75.843
57,04/04/23 00:24:08,51,45.0,19.8,306.993,131.827,135.434,135.011,132.051,131.888,127.575,120.48,116.044,106.29,97.128,90.36,84.826,81.895,77.85,76.598,78.966,81.207,77.38,75.613,74.014,71.258
58,04/04/23 00:24:26,51,45.0,160.2,306.988,146.53,149.916,150.191,146.812,146.429,141.278,134.0,129.302,118.651,108.491,100.353,93.387,91.504,86.589,84.662,86.984,137.978,84.911,82.795,80.624,77.295
60,04/04/23 00:24:49,51,90.0,19.8,306.983,132.081,135.23,135.55,132.157,131.776,126.954,120.568,115.315,106.464,97.731,90.507,83.97,81.817,77.814,76.592,79.517,81.927,77.966,75.686,73.868,70.857
61,04/04/23 00:25:07,51,90.0,160.2,306.981,144.012,147.277,147.341,143.789,144.063,139.304,131.701,128.681,116.809,106.58,99.404,92.314,89.859,85.118,83.837,86.278,91.877,84.087,81.634,79.339,76.622
63,04/04/23 00:25:30,51,135.0,19.8,306.975,133.985,137.514,137.677,133.811,134.4,129.187,122.129,118.908,108.169,99.236,91.489,85.308,83.076,78.279,77.297,79.703,113.18,78.461,76.857,74.413,70.949
64,04/04/23 00:25:48,51,135.0,160.2,306.971,140.711,144.105,144.521,140.678,140.472,135.469,128.503,122.61,113.851,104.143,96.943,90.484,87.528,83.336,81.692,83.906,85.827,82.82,80.425,78.408,75.0
