Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000
2,04/06/23 00:05:06,51,0.0,19.8,308.174,158.144,162.116,162.247,155.794,155.863,148.244,139.276,131.641,123.3,112.261,103.166,96.839,94.001,89.475,86.933,89.027,84.1,85.818,83.776,81.688,78.394
3,04/06/23 00:05:24,51,0.0,90.0,308.191,68.971,71.566,71.5,68.561,68.137,65.826,59.101,55.088,51.029,44.729,41.405,37.443,35.501,33.669,34.536,39.741,37.26,41.395,38.705,36.843,32.63
4,04/06/23 00:05:41,51,0.0,160.2,308.202,156.472,160.183,161.046,153.898,154.267,147.378,137.216,130.426,121.457,110.36,101.883,95.188,91.944,87.923,85.514,87.787,155.779,85.173,82.501,80.338,76.858
5,04/06/23 00:06:06,51,45.0,19.8,308.216,155.91,159.755,160.208,153.394,153.888,146.509,136.76,129.779,121.064,110.814,101.229,95.404,91.691,87.3,84.994,87.473,81.82,85.469,82.479,80.371,76.829
6,04/06/23 00:06:24,51,45.0,160.2,308.229,156.417,160.077,160.625,154.658,154.548,147.363,137.907,131.468,122.084,110.994,102.293,95.393,92.74,87.574,85.073,88.453,131.191,85.431,82.961,80.749,77.234
8,04/06/23 00:06:46,51,90.0,19.8,308.236,156.49,159.946,160.294,153.348,154.013,146.402,136.537,129.493,120.836,110.647,101.89,94.579,91.768,87.265,85.274,87.362,82.849,85.07,81.974,80.263,76.449
9,04/06/23 00:07:04,51,90.0,160.2,308.246,157.912,161.266,161.861,156.34,155.774,148.872,139.518,133.974,124.126,113.348,104.223,96.824,93.633,90.481,87.258,90.234,90.523,86.782,83.909,81.517,78.542
11,04/06/23 00:07:27,51,135.0,19.8,308.26,161.275,165.189,165.237,159.105,158.99,152.191,142.522,136.365,126.862,116.989,108.338,101.808,98.793,94.942,92.787,94.775,122.311,93.386,90.272,88.608,85.265
12,04/06/23 00:07:45,51,135.0,160.2,308.269,161.668,165.624,165.895,159.929,159.809,153.092,143.105,136.185,127.333,116.236,107.639,100.496,96.885,93.168,90.58,92.464,87.207,90.114,86.799,84.419,80.954
15,04/06/23 00:09:39,51,0.0,19.8,308.312,158.729,161.735,162.539,156.025,156.041,149.6,139.999,134.282,123.576,112.527,103.601,96.959,92.711,89.601,86.358,88.987,89.073,86.003,83.877,81.886,78.633
16,04/06/23 00:09:56,51,0.0,90.0,308.323,69.842,71.469,71.81,67.599,67.514,65.745,59.931,56.178,50.607,44.634,40.981,37.756,34.984,33.862,33.788,39.4,42.858,40.079,38.602,37.425,32.513
17,04/06/23 00:10:13,51,0.0,160.2,308.33,157.701,160.882,161.287,155.214,154.537,148.493,138.976,132.986,122.731,111.464,102.669,95.504,91.667,88.069,85.093,88.499,169.763,85.267,83.129,81.243,78.049
18,04/06/23 00:10:36,51,45.0,19.8,308.341,156.761,159.959,160.5,154.043,154.219,147.471,138.195,132.677,121.882,110.449,101.725,95.218,91.332,87.775,84.912,87.268,87.554,84.572,83.081,80.602,77.908
19,04/06/23 00:10:54,51,45.0,160.2,308.345,158.598,162.0,162.667,156.305,156.164,149.298,140.692,134.685,124.24,112.252,103.565,96.385,93.448,89.541,86.461,89.069,133.062,85.864,83.953,81.872,79.482
21,04/06/23 00:11:17,51,90.0,19.8,308.348,155.602,158.766,159.373,153.017,152.751,146.733,136.864,131.52,120.334,108.524,100.193,93.49,89.587,86.159,83.629,86.125,86.622,83.278,81.056,78.466,76.493
22,04/06/23 00:11:35,51,90.0,160.2,308.353,159.618,162.263,163.05,157.222,156.934,150.761,141.76,139.038,125.45,114.038,105.29,98.196,94.821,90.351,87.809,91.033,95.723,86.874,84.991,83.095,80.031
24,04/06/23 00:11:58,51,135.0,19.8,308.365,157.881,161.357,161.347,155.092,154.819,148.868,139.055,135.057,122.506,111.231,102.809,95.624,91.207,87.767,85.593,88.284,123.349,85.149,82.838,81.715,78.586
25,04/06/23 00:12:16,51,135.0,160.2,308.368,162.643,166.003,166.638,160.648,160.042,153.699,144.53,138.658,128.007,116.645,107.889,100.851,97.287,93.328,90.091,92.55,93.198,89.603,86.908,85.357,81.788
28,04/06/23 00:14:10,51,0.0,19.8,308.394,158.328,162.16,162.001,156.048,155.907,149.101,140.616,134.527,123.767,113.351,103.335,96.37,93.527,88.096,86.528,88.591,89.249,86.387,83.637,81.853,78.551
29,04/06/23 00:14:27,51,0.0,90.0,308.397,69.439,71.743,72.114,68.127,68.997,65.971,59.975,57.149,51.016,44.403,40.51,37.302,36.047,33.221,33.683,39.006,42.629,39.781,38.484,37.047,32.197
30,04/06/23 00:14:45,51,0.0,160.2,308.397,158.75,162.748,162.956,156.439,156.468,149.205,140.342,134.252,123.883,112.294,103.316,96.534,93.202,88.352,86.896,88.532,177.569,85.804,83.659,80.554,78.161
31,04/06/23 00:15:08,51,45.0,19.8,308.393,157.644,161.186,161.085,155.65,155.021,147.74,139.756,133.687,122.892,111.882,102.306,96.117,93.325,87.939,86.262,88.192,89.459,85.684,83.076,81.263,77.896
32,04/06/23 00:15:26,51,45.0,160.2,308.392,158.586,161.824,162.465,156.462,156.307,149.464,140.495,135.407,124.075,112.711,103.391,96.515,93.632,88.56,86.729,89.282,136.556,86.083,83.274,81.142,78.474
