Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000
2,04/05/23 00:05:09,51,0.0,19.8,310.035,145.144,148.297,148.622,144.102,144.354,139.353,132.043,124.238,117.607,107.725,99.745,93.205,89.791,86.817,84.376,87.345,83.075,84.478,82.553,79.586,77.47
3,04/05/23 00:05:27,51,0.0,90.0,310.03,66.472,68.752,68.024,64.953,65.918,64.899,58.785,53.175,51.437,45.074,42.765,38.283,36.937,34.966,35.397,40.338,39.388,41.818,39.759,37.623,33.534
4,04/05/23 00:05:44,51,0.0,160.2,310.02,151.115,154.532,154.764,149.765,149.876,144.873,136.782,128.253,122.368,111.733,104.189,97.134,93.543,90.187,88.593,90.915,163.103,88.259,84.941,83.307,80.31
5,04/05/23 00:06:08,51,45.0,19.8,310.009,142.629,146.578,146.114,141.989,142.066,137.474,129.571,121.307,115.907,106.374,99.135,92.014,89.287,85.736,83.734,86.471,82.5,84.401,82.181,79.905,76.538
6,04/05/23 00:06:26,51,45.0,160.2,310.001,151.088,154.541,155.298,150.69,150.438,145.91,138.133,129.18,123.056,112.527,105.489,98.63,95.419,92.07,89.756,92.452,130.495,88.689,86.468,84.29,81.178
8,04/05/23 00:06:49,51,90.0,19.8,309.993,140.575,143.644,144.442,139.334,139.747,134.775,127.67,119.514,114.109,104.265,97.007,90.368,86.943,84.408,82.575,85.839,81.594,82.672,80.471,77.416,74.946
9,04/05/23 00:07:07,51,90.0,160.2,309.99,153.983,157.571,157.777,153.364,153.12,148.217,140.47,133.96,126.201,114.316,107.669,99.879,97.18,93.448,90.214,93.55,92.387,89.765,87.107,85.172,82.351
11,04/05/23 00:07:31,51,135.0,19.8,309.975,142.144,145.616,145.357,140.835,141.295,136.41,128.476,122.341,115.421,104.99,97.969,91.969,87.679,85.03,82.914,85.653,112.38,82.738,80.418,78.636,75.734
12,04/05/23 00:07:48,51,135.0,160.2,309.965,153.514,156.875,157.791,152.952,153.383,147.712,139.434,130.73,125.311,114.131,106.678,98.973,95.922,93.025,90.378,92.733,88.264,89.354,87.084,84.931,81.894
15,04/05/23 00:09:42,51,0.0,19.8,309.91,142.787,145.987,147.266,142.781,141.887,137.859,129.911,125.578,115.566,107.005,98.618,92.334,89.244,85.025,83.064,85.867,86.552,84.114,81.177,79.014,76.532
16,04/05/23 00:10:00,51,0.0,90.0,309.906,64.232,66.147,67.091,64.103,63.698,62.352,57.482,55.405,49.114,44.743,41.469,37.393,35.334,33.733,33.499,39.786,43.598,40.587,39.499,37.038,33.004
17,04/05/23 00:10:17,51,0.0,160.2,309.899,149.586,153.084,154.247,149.302,148.789,144.058,135.315,131.808,121.183,111.895,103.896,96.114,93.374,88.919,86.587,89.698,165.044,87.096,84.288,82.628,79.822
18,04/05/23 00:10:40,51,45.0,19.8,309.892,139.736,143.204,143.716,139.4,139.006,134.263,127.0,122.627,112.87,104.204,96.101,90.037,87.031,82.621,80.458,84.091,85.036,82.191,79.381,77.922,74.621
19,04/05/23 00:10:58,51,45.0,160.2,309.883,149.359,152.606,153.178,149.335,148.312,143.818,135.59,131.685,121.314,112.142,103.569,96.922,93.821,89.688,87.264,90.252,135.238,87.192,84.875,82.589,79.962
21,04/05/23 00:11:21,51,90.0,19.8,309.875,136.88,140.277,140.607,136.335,136.085,131.819,123.924,120.122,110.266,102.097,94.243,88.256,84.726,80.951,79.199,82.191,84.988,80.657,78.196,76.404,73.283
22,04/05/23 00:11:39,51,90.0,160.2,309.867,152.275,155.641,156.795,152.64,151.982,146.931,139.367,137.537,123.865,115.064,106.791,98.994,96.158,91.691,88.907,91.55,97.829,89.127,86.63,84.148,81.775
24,04/05/23 00:12:02,51,135.0,19.8,309.859,140.146,143.612,144.136,140.055,138.888,135.009,127.512,124.238,113.216,104.944,96.377,90.355,86.604,83.066,81.206,84.249,118.192,82.484,79.596,77.991,74.47
25,04/05/23 00:12:20,51,135.0,160.2,309.851,151.584,154.834,155.896,151.453,150.278,145.962,137.656,132.216,122.944,113.158,104.866,97.623,94.099,90.469,87.679,90.932,91.752,87.952,85.807,83.565,81.023
28,04/05/23 00:14:12,51,0.0,19.8,309.821,141.121,144.045,145.59,140.514,140.182,135.616,127.922,123.591,114.877,104.638,97.279,90.344,87.813,84.359,81.393,84.737,85.8,82.77,80.647,77.733,75.09
29,04/05/23 00:14:30,51,0.0,90.0,309.824,63.635,64.013,65.121,61.88,62.519,61.359,56.359,53.404,48.204,43.577,39.687,37.087,34.209,32.873,32.861,38.555,43.37,39.647,37.973,36.871,31.955
30,04/05/23 00:14:48,51,0.0,160.2,309.82,149.357,152.415,153.039,147.989,148.26,143.211,134.533,131.021,120.9,110.72,102.746,95.537,93.096,89.283,85.76,89.244,167.251,87.038,83.847,82.133,78.965
31,04/05/23 00:15:11,51,45.0,19.8,309.815,138.406,140.816,141.946,137.016,136.816,132.93,124.578,120.38,112.291,103.145,94.99,88.533,85.317,82.771,80.134,82.961,84.602,81.221,78.908,76.817,73.073
32,04/05/23 00:15:28,51,45.0,160.2,309.807,148.113,150.657,152.128,147.079,146.851,142.674,134.123,130.531,120.622,110.778,102.386,95.429,92.659,89.201,85.991,88.629,134.801,87.018,84.573,81.422,78.523
34,04/05/23 00:15:51,51,90.0,19.8,309.798,137.983,140.675,141.857,136.765,136.863,132.887,124.959,120.921,112.23,103.097,94.335,89.436,86.132,82.443,80.164,82.94,85.697,81.364,79.182,76.852,73.92
35,04/05/23 00:16:09,51,90.0,160.2,309.794,151.408,153.85,155.006,150.501,150.458,145.961,137.212,135.765,123.355,113.709,105.079,97.108,93.884,90.805,88.303,90.629,96.042,87.878,85.479,83.205,80.561
37,04/05/23 00:16:32,51,135.0,19.8,309.782,139.788,141.999,143.214,138.461,138.199,133.617,125.656,122.997,112.233,103.436,95.322,89.834,85.528,83.159,79.896,82.936,121.309,82.087,79.39,77.064,73.559
